"","POTR.L","POTR.M","POTR.H"
"2011",1.28574302591613,1.25710603874375,1.27151516370465
"2010",1.04692166191823,0.935439500897882,0.955814639764232
"2009",1.03492331084931,0.772502640433814,0.907324773408188
"2008",1.10755926189861,1.01198999860123,0.956003370087268
"2007",1.04663196949975,1.18389153681293,0.965167453087073
"2006",1.08484171339237,1.24091117527417,1.18566913491546
"2005",0.867305143846609,1.05622933860206,1.19775228532726
"2004",0.822918550492206,0.847792393524545,0.889921732221962
"2003",0.791366019790374,0.816334417902654,1.04673064485987
"2002",0.627785862061176,0.609734703745898,0.776284352908389
"2001",0.904085866201157,0.896374743279324,1.0220304256425
"2000",1.08847182580627,0.900819159942728,0.960026765369999
"1999",1.08364124451708,0.843175987526373,0.77509642559455
"1998",0.974881916979173,0.80237208868646,0.906572431338494
"1997",0.874240121276797,1.01281765855639,0.914961508006466
"1996",1.00243231718957,1.08183857285935,0.94758245302125
"1995",0.87522782464695,1.15972080309709,0.963234455470958
"1994",1.11708703734425,1.04116024546194,0.982652417833688
"1993",1.20409346802601,1.17754212072778,0.995540554435496
"1992",1.25795249626561,1.16425596410585,0.917690800448796
"1991",1.14549236437836,1.20914739304474,1.00377057812986
"1990",1.10551948042188,1.06447770592099,1.09578500070394
"1989",0.767867864864447,0.804506006167797,1.00240590121683
"1988",1.15261281751218,0.909274282677867,1.03032730807599
"1987",0.715997796048608,0.951694594138054,0.949390924197679
"1986",0.461876411024543,0.842281839645512,0.879743106313911
"1985",1.02733818142861,0.98792485404178,1.01660995901088
"1984",1.27439495399881,1.20894011279524,1.07339264376202
"1983",1.34100043575694,1.31623055718035,1.06391271367565
"1982",0.824902990763662,0.954088540113881,0.941123390522317
"1981",0.984897813038938,1.04449980436447,0.961746258578373
"1980",0.900331197265351,1.01409902134186,1.00668186211654
"1979",0.949072565751312,1.06324649933224,1.09587278040277
"1978",0.979268361942109,0.994346326262853,1.09373597009766
"1977",0.797742812686868,0.758444294533508,1.02617571438055
"1976",1.0153134847376,0.935087850850762,1.11539733722726
"1975",1.08242042903679,1.06978015769501,1.02184129286129
"1974",0.909310860178805,0.767606038992038,0.972391348750736
"1973",1.11711727998264,1.03978087127562,1.12606398698608
"1972",0.860660084490942,0.762681602808746,0.948159400334681
"1971",0.979381090902717,0.799329411487789,1.01208343335445
"1970",1.29279982843928,1.12048968938964,1.13367698125621
"1969",1.44642382528546,1.16196284946562,1.2243006403342
"1968",1.13347782453005,0.931151792323337,1.08396541321931
"1967",1.24075961337352,1.14465550982629,1.12564541835771
"1966",1.09392153629316,1.04749571576536,1.07695367476394
"1965",1.12054000677402,1.29524668078525,1.00768904124809
"1964",1.04351779095583,1.26265924570989,1.2449393421515
"1963",0.631613317935353,1.16590967093405,1.13361357878923
"1962",0.852498093509474,0.982451985091402,0.920235889485381
"1961",0.777559957408555,0.921498845242055,1.14866865177436
"1960",0.913501841238558,0.906274229368894,0.898249619726867
"1959",0.807648323349362,0.930381559507193,0.860380514298807
"1958",1.28289176546108,1.10092514530272,1.01543222101315
"1957",1.44697869008113,1.3436715205721,0.976632711202539
"1956",1.00121206340767,0.964500046862112,0.858171683804531
"1955",0.898660308126428,1.04849673616353,0.852656692569878
"1954",1.06908639850405,0.944081972635457,0.97155286120908
"1953",0.907553734105641,0.905190979971455,0.884956992523426
"1952",0.900646713998077,0.89688811163262,0.870455135335158
"1951",0.738799026165449,0.837370552560189,0.917048070104739
"1950",0.77992655132085,0.826821485373425,0.703714419559568
"1949",0.768035423769863,0.698966604159604,0.66464141349695
"1948",1.11684453093122,1.04850199993289,0.880046126131691
"1947",1.1428868390566,1.00332178441122,1.01380608599118
"1946",0.765739827116216,0.884024583486607,0.779424706869499
"1945",0.747791770180889,0.758965539648237,0.620941764693326
"1944",0.782261330513816,0.450086444885127,0.533783584452513
"1943",0.693036904749773,0.536033330294718,0.610139222218965
"1942",0.85029402429412,0.811159328056078,0.750014430987859
"1941",1.19732071003874,1.091461919653,0.829500522655515
"1940",1.09574449704034,1.17383060411609,1.08949593773668
"1939",0.828949249261562,0.980646224151277,1.05037159691044
"1938",1.1801996684286,1.32360827830782,1.26626770381612
"1937",1.30799256420734,1.18771843189019,1.15305843906431
"1936",0.933290106637306,1.11332152841824,1.20874184718558
"1935",0.866326362127231,0.886474951334767,1.15007963888361
"1934",0.823788538566074,0.641625425907103,0.897325743117317
"1933",1.26912719917441,0.889472168017849,1.08467451450145
"1932",1.03300568229907,0.830194118721234,0.987596869875969
"1931",0.856644680517533,0.714900507788045,1.13120482578884
"1930",1.00701707482017,1.01729068149965,1.06248137076853
"1929",1.07402557782545,1.24641910929782,1.1118092644821
"1928",0.938687438290005,0.998054955708184,0.982442457964688
"1927",1.24196601832099,1.25159586489235,1.12619645589514
"1926",1.21902385519148,1.19010439534845,1.17563822562282
"1925",1.21510473266405,1.01333403508769,1.00290498066744
"1924",1.01142636786598,0.968732413622359,1.03419417362092
"1923",1.04740496347697,0.913775341762759,0.956156586034167
"1922",0.688097490179907,0.897330506201454,1.04036905973516
"1921",1.1146204866441,1.14290436916824,0.983779599134619
"1920",1.25889325505561,1.44110119679496,1.15643829306218
"1919",1.3290176253073,1.16949124394248,1.0980915024161
"1918",1.0963958223779,1.08264838886735,1.05909485425322
"1917",0.883971312473323,0.926663718126726,1.10305439790589
"1916",0.881214776010622,0.915934847092774,0.910377796923762
"1915",0.629989951490848,0.751370154477955,0.824043917588161
"1914",1.06915029142936,1.1068865411536,0.834675800387435
"1913",0.895084676218087,0.963642224364963,0.673903638114774
"1912",1.12404167939307,1.28135025644253,0.724808239891671
"1911",1.24215808582029,1.13147463840757,0.815089098963003
"1910",0.804084752199591,0.753341396054294,1.09639822433966
"1909",0.948226551149145,0.958213814635656,1.11121859205967
"1908",0.925857969779402,0.921215355401151,1.22156448585256
"1907",0.981165163258646,1.04374403393069,1.20582015125918
"1906",1.22820341291453,1.21639416940265,1.18278649260489
"1905",1.19254783359858,1.21700331735066,1.16112493018589
"1904",0.684440731177017,0.902484541612716,0.916224352412998
"1903",0.846786782023953,0.900448801833001,1.07460558849938
"1902",0.642861417126786,0.67926470046257,0.857668538586439
