"","Tag","Species","Elev","Plot","Tree","Stage","PlotUn","DBH","Bark1","Bark2","BarkAv","BAI10yr"
"3","PIPO-H-A-T1","PIPO","H","A","T1","Adult","PIPO-H-A",37.8,NA,1.5,1.5,567.003224558313
"6","PIPO-H-A-T7","PIPO","H","A","T7","Adult","PIPO-H-A",69.2,4,3,3.5,3307.4354071181
"11","PIPO-H-B-T4","PIPO","H","B","T4","Adult","PIPO-H-B",47.1,NA,NA,3.65650937155243,1653.490577903
"16","PIPO-H-C-T12","PIPO","H","C","T12","Adult","PIPO-H-C",41.2,NA,NA,3.32173549331418,809.148772076798
"18","PIPO-H-C-T8","PIPO","H","C","T8","Adult","PIPO-H-C",42.1,NA,NA,3.37280269507934,982.816011929177
"24","PIPO-H-D-T4","PIPO","H","D","T4","Adult","PIPO-H-D",42.2,4,2.8,3.4,844.316420068157
"25","PIPO-H-D-T5","PIPO","H","D","T5","Adult","PIPO-H-D",55.9,4.2,5,4.6,1549.74619541088
"28","PIPO-H-E-T1","PIPO","H","E","T1","Adult","PIPO-H-E",54,3.5,5.5,4.5,2232.75848543591
"29","PIPO-H-E-T2","PIPO","H","E","T2","Adult","PIPO-H-E",47,NA,3.4,3.4,1757.90078336403
"30","PIPO-H-E-T5","PIPO","H","E","T5","Adult","PIPO-H-E",49,3.8,NA,3.8,2372.04160999273
"33","PIPO-L-A-T1","PIPO","L","A","T1","Adult","PIPO-L-A",42,2.3,2.8,2.55,553.135073845423
"34","PIPO-L-A-T10","PIPO","L","A","T10","Adult","PIPO-L-A",37,2.6,NA,2.6,1093.43302456851
"35","PIPO-L-A-T8","PIPO","L","A","T8","Adult","PIPO-L-A",33.8,2.7,2.8,2.75,441.443960741031
"37","PIPO-L-B-T1","PIPO","L","B","T1","Adult","PIPO-L-B",37,NA,2.5,2.5,572.13243541813
"38","PIPO-L-B-T12","PIPO","L","B","T12","Adult","PIPO-L-B",48,NA,3.8,3.8,538.354436550727
"40","PIPO-L-B-T8","PIPO","L","B","T8","Adult","PIPO-L-B",33.5,3.3,NA,3.3,500.066818009832
"42","PIPO-L-C-T1","PIPO","L","C","T1","Adult","PIPO-L-C",66.1,4,NA,4,882.199990209736
"43","PIPO-L-C-T4","PIPO","L","C","T4","Adult","PIPO-L-C",61.9,NA,3.1,3.1,2009.96732608733
"45","PIPO-L-D-T10","PIPO","L","D","T10","Adult","PIPO-L-D",49.5,NA,1,1,1371.05638480865
"46","PIPO-L-D-T4","PIPO","L","D","T4","Adult","PIPO-L-D",38.6,2.5,NA,2.5,553.431129368956
"47","PIPO-L-D-T5","PIPO","L","D","T5","Adult","PIPO-L-D",32,2.5,3.2,2.85,471.279834011762
"48","PIPO-L-D-T8","PIPO","L","D","T8","Adult","PIPO-L-D",33.7,NA,2.5,2.5,267.241684023231
"51","PIPO-L-E-T2","PIPO","L","E","T2","Adult","PIPO-L-E",51.7,5.1,4.6,4.85,930.924526261503
"52","PIPO-L-E-T4","PIPO","L","E","T4","Adult","PIPO-L-E",37.8,NA,2.6,2.6,395.368637411202
"53","PIPO-L-E-T7","PIPO","L","E","T7","Adult","PIPO-L-E",46.1,3.2,3.4,3.3,409.542554389057
"57","PIPO-M-A-T3","PIPO","M","A","T3","Adult","PIPO-M-A",29.5,2.5,1.5,2,109.469655554088
"62","PIPO-M-B-T1","PIPO","M","B","T1","Adult","PIPO-M-B",54.8,4,2.4,3.2,1095.21092575714
"64","PIPO-M-B-T8","PIPO","M","B","T8","Adult","PIPO-M-B",51,2.5,4,3.25,1273.78137028987
"69","PIPO-M-C-T2","PIPO","M","C","T2","Adult","PIPO-M-C",54.6,3.1,3,3.05,989.975796551461
"76","PIPO-M-D-T2","PIPO","M","D","T2","Adult","PIPO-M-D",36.5,1.5,3.5,2.5,941.616503318217
"77","PIPO-M-D-T3","PIPO","M","D","T3","Adult","PIPO-M-D",36.3,1,2.5,1.75,505.122031953365
"86","PIPO-M-E-T6","PIPO","M","E","T6","Adult","PIPO-M-E",52.9,2.5,3,2.75,755.918815104195
