ID1,ID2,Latitude,Longitude,Elevation,MAT,MWMT,MCMT,TD,MAP,MSP,AHM,SHM,DD_0,DD5,DD_18,DD18,NFFD,bFFP,eFFP,FFP,PAS,EMT,EXT,Eref,CMD,MAR,RH
CO,ABLA-H,37.466342,-108.08847,3517.2,0.4,10.8,-8.5,19.3,1076,363,9.7,29.8,1207,537,6388,3,101,188,231,43,631,-41.1,28.1,507,112,19.6,55
CO,ABLA-L,37.482501,-108.162552,3086.933333,2.7,13.3,-6.9,20.2,841,311,15.2,42.9,877,891,5548,10,123,181,245,64,376,-40,31.1,667,236,19.1,51
CO,ABLA-M,37.48283,-108.129852,3290.733333,1.7,12.1,-7.6,19.7,917,329,12.8,36.7,1007,714,5919,5,113,184,239,55,464,-40.2,29.8,558,180,18.1,53
CO,PIPO-H,37.473182,-108.235481,2682.333333,4.7,15.8,-5.6,21.4,679,252,21.7,62.8,662,1268,4850,31,139,173,253,80,233,-39.3,33.9,810,412,18.8,47
CO,PIPO-L,37.40439,-108.317146,2279.55,6.9,18.6,-4.6,23.3,493,194,34.2,96,496,1763,4153,108,164,160,266,106,113,-37.5,36.6,974,609,18.6,47
CO,PIPO-M,37.433798,-108.280373,2467.75,5.8,17.3,-5.1,22.3,578,221,27.4,78.3,568,1519,4479,60,152,166,260,93,163,-38.3,35.3,867,513,18.2,47
CO,POTR-H,37.480207,-108.161499,3085.2,2.7,13.3,-6.9,20.2,842,311,15.1,42.8,880,887,5557,10,123,181,245,64,378,-40.1,31.1,666,236,19.1,51
CO,POTR-L,37.481211,-108.237892,2692.571429,4.7,15.8,-5.6,21.4,682,252,21.5,62.4,667,1260,4865,30,139,173,253,80,236,-39.3,33.9,808,410,18.8,47
CO,POTR-M,37.485911,-108.194344,2875.5,3.8,14.7,-6.2,20.8,760,282,18.2,52.1,753,1089,5167,18,133,176,250,74,297,-39.7,32.6,723,324,19,49
MT,ABLA-H,48.626933,-113.834801,2219.333333,1.6,13,-8.9,21.9,1854,521,6.3,25,1107,811,5957,9,133,168,246,78,1160,-38.5,31.2,512,63,17.9,64
MT,ABLA-L,48.617012,-113.847542,1607,3.2,14.9,-7.9,22.7,1251,397,10.6,37.4,906,1091,5388,22,148,161,249,88,634,-37.1,33.8,589,135,15.8,61
MT,ABLA-M,48.622086,-113.841431,1906.416667,2.4,14,-8.4,22.3,1548,458,8,30.5,1000,954,5662,14,141,165,248,83,879,-37.8,32.6,551,95,17,63
MT,PSME-H,48.61708,-113.847404,1610.423077,3.2,14.8,-7.9,22.7,1254,398,10.5,37.3,907,1090,5391,22,148,161,249,88,636,-37.1,33.8,588,134,15.9,61
MT,PSME-L,48.614147,-113.854759,1323,3.9,15.7,-7.4,23.1,976,342,14.3,45.9,825,1237,5141,32,154,158,251,93,431,-36.5,35,623,192,14.5,60
MT,PSME-M,48.615509,-113.852654,1445.576923,3.6,15.3,-7.6,22.9,1097,366,12.4,41.9,858,1174,5244,27,152,159,250,91,516,-36.8,34.5,608,164,15,60
MT,TSHE-H,48.614869,-113.856277,1298.884615,4,15.8,-7.4,23.1,961,337,14.6,46.7,818,1251,5118,33,155,157,251,94,421,-36.5,35.1,626,198,14.4,60
MT,TSHE-L,48.618883,-113.869621,1025.115385,4.7,16.6,-6.9,23.5,724,286,20.3,58.2,742,1405,4865,50,163,152,254,102,267,-35.9,36.1,657,291,13.1,59
MT,TSHE-M,48.614038,-113.862061,1164.115385,4.3,16.2,-7.1,23.3,839,311,17.1,52,780,1324,4990,41,159,155,252,97,339,-36.2,35.6,642,241,13.7,59
WA,ABLA-H,48.00014,-123.561081,1506.4,4.1,12.4,-2.7,15.2,2151,253,6.6,49.2,481,887,5052,11,176,166,279,113,848,-28.8,30.2,477,157,14.2,70
WA,ABLA-L,48.001582,-123.570694,1249.9,5.3,13.2,-1.4,14.6,2152,247,7.1,53.5,350,1055,4625,16,197,156,283,127,582,-26.6,31.2,562,175,13.4,70
WA,ABLA-M,48.000692,-123.565933,1392.65,4.7,12.7,-2.1,14.8,2241,256,6.6,49.9,407,964,4830,13,186,161,281,120,735,-27.8,30.6,527,164,13.9,70
WA,PSME-H,48.00024,-123.569695,1298.090909,5.1,13.1,-1.6,14.7,2185,250,6.9,52.2,368,1025,4692,15,193,158,282,124,631,-27,31,539,172,13.6,70
WA,PSME-L,48.007723,-123.585876,394.1818182,8.4,15.6,1.9,13.7,1695,204,10.8,76.6,146,1652,3538,50,269,123,300,176,121,-19.5,34.2,674,277,10.9,71
WA,PSME-M,47.997109,-123.581635,857.1818182,6.8,14.4,0.2,14.2,1967,229,8.5,63,232,1318,4093,28,231,142,290,148,291,-23.3,32.7,628,219,12.3,70
WA,TSHE-H,48.00673,-123.582169,550.1666667,7.8,15.2,1.3,13.9,1770,210,10.1,72.2,172,1526,3734,41,256,130,296,165,164,-20.9,33.7,658,259,11.2,71
WA,TSHE-M,48.010299,-123.588066,221.3636364,8.9,16.1,2.5,13.5,1611,197,11.8,81.7,124,1787,3341,61,283,114,304,190,88,-18.1,34.8,691,297,10.5,71
